id,ST_NUM,date1,Id_M,value1
521,1164320283,27/4/2025 00:00:00,6,-1
522,1156949693,27/4/2025 00:00:00,13,-2
523,1154766453,27/4/2025 00:00:00,13,-2
524,1158883759,27/4/2025 00:00:00,13,-2
525,1163156704,27/4/2025 00:00:00,6,-1
526,1164925792,27/4/2025 00:00:00,4,-1
527,1153324619,27/4/2025 00:00:00,4,-1
528,1152952766,27/4/2025 00:00:00,4,-1
529,1148534116,27/4/2025 00:00:00,4,-1
530,1152127039,27/4/2025 00:00:00,4,-1
531,1150084208,27/4/2025 00:00:00,4,-1
532,1153090897,27/4/2025 00:00:00,4,-1
533,1149415323,27/4/2025 00:00:00,4,-1
534,1154246324,27/4/2025 00:00:00,4,-1
535,1152037857,27/4/2025 00:00:00,4,-1
536,1163294406,27/4/2025 00:00:00,4,-1
537,1151766068,27/4/2025 00:00:00,4,-1
538,1162254278,27/4/2025 00:00:00,5,-1
540,1151403720,27/4/2025 00:00:00,13,-2
541,1152297824,27/4/2025 00:00:00,13,-2
542,1153355365,27/4/2025 00:00:00,7,-1
543,1153880354,27/4/2025 00:00:00,13,-2
544,1157275130,27/4/2025 00:00:00,13,-2
546,1149609859,27/4/2025 00:00:00,5,-2
