serial,dateenter,time,ST_NUM,enter,time1,do,enter2,sentg,sentt
450,7/9/2025 00:00:00,,1165724798,2,,,,,
451,7/9/2025 00:00:00,,1165736545,2,,,,,
452,7/9/2025 00:00:00,,1165770098,2,,,,,
453,7/9/2025 00:00:00,,1165804822,2,,,,,
454,7/9/2025 00:00:00,,1165820752,2,,,,,
455,7/9/2025 00:00:00,,1165849413,2,,,,,
456,7/9/2025 00:00:00,,1165871326,2,,,,,
457,7/9/2025 00:00:00,,1165896869,2,,,,,
458,7/9/2025 00:00:00,,1165905561,2,,,,,
459,7/9/2025 00:00:00,,1165954155,2,,,,,
460,7/9/2025 00:00:00,,1165961531,2,,,,,
461,7/9/2025 00:00:00,,1165973247,2,,,,,
462,7/9/2025 00:00:00,,1166172492,2,,,,,
463,7/9/2025 00:00:00,,1166178457,2,,,,,
464,7/9/2025 00:00:00,,1166239671,2,,,,,
465,7/9/2025 00:00:00,30/12/1899 21:27:33,1166255685,3,,,,,
466,7/9/2025 00:00:00,,1166310498,2,,,,,
467,7/9/2025 00:00:00,,1166337020,2,,,,,
468,7/9/2025 00:00:00,,1166363034,2,,,,,
469,7/9/2025 00:00:00,,1166374239,2,,,,,
470,7/9/2025 00:00:00,,1166393403,2,,,,,
471,7/9/2025 00:00:00,,1166396844,2,,,,,
472,7/9/2025 00:00:00,,1166423101,2,,,,,
473,7/9/2025 00:00:00,,1166454890,2,,,,,
474,7/9/2025 00:00:00,,1166569028,2,,,,,
475,7/9/2025 00:00:00,,1166598746,2,,,,,
476,7/9/2025 00:00:00,,1166649259,2,,,,,
477,7/9/2025 00:00:00,,1166713048,2,,,,,
478,7/9/2025 00:00:00,,1166755163,2,,,,,
479,7/9/2025 00:00:00,,1166840189,2,,,,,
480,7/9/2025 00:00:00,,1166873966,2,,,,,
481,7/9/2025 00:00:00,,1166926830,2,,,,,
482,7/9/2025 00:00:00,,1166973196,2,,,,,
483,7/9/2025 00:00:00,,1166975118,2,,,,,
484,7/9/2025 00:00:00,,1166988095,2,,,,,
485,7/9/2025 00:00:00,,1167047693,2,,,,,
486,7/9/2025 00:00:00,,1167083789,2,,,,,
487,7/9/2025 00:00:00,,1167163771,2,,,,,
488,7/9/2025 00:00:00,,1167178613,2,,,,,
489,7/9/2025 00:00:00,,1167182425,2,,,,,
490,7/9/2025 00:00:00,,1167279270,2,,,,,
491,7/9/2025 00:00:00,,1167379641,2,,,,,
492,7/9/2025 00:00:00,,1167404514,2,,,,,
493,7/9/2025 00:00:00,,1167525557,2,,,,,
494,7/9/2025 00:00:00,,1167670775,2,,,,,
495,7/9/2025 00:00:00,,1168069076,2,,,,,
